Notes,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths
,55-59 years,55-59,2022,2022,"Jan., 2022",2022/01,4611
,55-59 years,55-59,2022,2022,"Feb., 2022",2022/02,2403
,55-59 years,55-59,2022,2022,"Mar., 2022",2022/03,630
,55-59 years,55-59,2022,2022,"Apr., 2022",2022/04,197
,55-59 years,55-59,2022,2022,"May, 2022",2022/05,184
,55-59 years,55-59,2022,2022,"Jun., 2022",2022/06,227
,55-59 years,55-59,2022,2022,"Jul., 2022",2022/07,316
,55-59 years,55-59,2022,2022,"Aug., 2022",2022/08,298
,55-59 years,55-59,2022,2022,"Sep., 2022",2022/09,225
,55-59 years,55-59,2022,2022,"oct., 2022",2022/10,179
,55-59 years,55-59,2022,2022,"nov., 2022",2022/11,178
,55-59 years,55-59,2022,2022,"Dec., 2022",2022/12,268
,55-59 years,55-59,2023,2023,"Jan., 2023 ",2023/01,280
,55-59 years,55-59,2023,2023,"Feb., 2023 ",2023/02,180
,55-59 years,55-59,2023,2023,"Mar., 2023 ",2023/03,119
,55-59 years,55-59,2023,2023,"Apr., 2023 ",2023/04,76
,55-59 years,55-59,2023,2023,"May, 2023 ",2023/05,63
,55-59 years,55-59,2023,2023,"Jun., 2023 ",2023/06,52
,55-59 years,55-59,2023,2023,"Jul., 2023 ",2023/07,50
,55-59 years,55-59,2023,2023,"Aug., 2023 ",2023/08,82
,55-59 years,55-59,2023,2023,"Sep., 2023 ",2023/09,103
,55-59 years,55-59,2023,2023,"oct., 2023",2023/10,78
,55-59 years,55-59,2023,2023,"nov., 2023",2023/11,107
,55-59 years,55-59,2023,2023,"Dec., 2023 ",2023/12,141
,60-64 years ,60-64,2020,2020,"Mar., 2020",2020/03,559
,60-64 years ,60-64,2020,2020,"Apr., 2020",2020/04,4577
,60-64 years ,60-64,2020,2020,"May, 2020",2020/05,2446
,60-64 years ,60-64,2020,2020,"Jun., 2020",2020/06,1258
,60-64 years ,60-64,2020,2020,"Jul., 2020",2020/07,2403
,60-64 years ,60-64,2020,2020,"Aug., 2020",2020/08,2271
,60-64 years ,60-64,2020,2020,"Sep., 2020",2020/09,1339
,60-64 years ,60-64,2020,2020,"oct., 2020",2020/10,1512
,60-64 years ,60-64,2020,2020,"nov., 2020",2020/11,3075
,60-64 years ,60-64,2020,2020,"Dec., 2020",2020/12,6018
,60-64 years ,60-64,2021,2021,"Jan., 2021",2021/01,7404
,60-64 years ,60-64,2021,2021,"Feb., 2021",2021/02,3800
,60-64 years ,60-64,2021,2021,"Mar., 2021",2021/03,2059
,60-64 years ,60-64,2021,2021,"Apr., 2021",2021/04,1830
,60-64 years ,60-64,2021,2021,"May, 2021",2021/05,1520
,60-64 years ,60-64,2021,2021,"Jun., 2021",2021/06,792
,60-64 years ,60-64,2021,2021,"Jul., 2021",2021/07,1119
,60-64 years ,60-64,2021,2021,"Aug., 2021",2021/08,5007
,60-64 years ,60-64,2021,2021,"Sep., 2021",2021/09,6939
,60-64 years ,60-64,2021,2021,"oct., 2021",2021/10,4461
,60-64 years ,60-64,2021,2021,"nov., 2021",2021/11,3066
,60-64 years ,60-64,2021,2021,"Dec., 2021",2021/12,4523
,60-64 years ,60-64,2022,2022,"Jan., 2022",2022/01,6680
,60-64 years ,60-64,2022,2022,"Feb., 2022",2022/02,3618
,60-64 years ,60-64,2022,2022,"Mar., 2022",2022/03,1002
,60-64 years ,60-64,2022,2022,"Apr., 2022",2022/04,286
,60-64 years ,60-64,2022,2022,"May, 2022",2022/05,286
,60-64 years ,60-64,2022,2022,"Jun., 2022",2022/06,314
,60-64 years ,60-64,2022,2022,"Jul., 2022",2022/07,479
,60-64 years ,60-64,2022,2022,"Aug., 2022",2022/08,456
,60-64 years ,60-64,2022,2022,"Sep., 2022",2022/09,364
,60-64 years ,60-64,2022,2022,"oct., 2022",2022/10,290
,60-64 years ,60-64,2022,2022,"nov., 2022",2022/11,311
,60-64 years ,60-64,2022,2022,"Dec., 2022",2022/12,450
,60-64 years ,60-64,2023,2023,"Jan., 2023 ",2023/01,500
,60-64 years ,60-64,2023,2023,"Feb., 2023 ",2023/02,274
,60-64 years ,60-64,2023,2023,"Mar., 2023 ",2023/03,227
