Year,Week,MMWRWeekCode,Date,Deaths,baseline_1819_week,Excess_calc,Excess_TES,diff_calc_vs_TES,diff_pct_of_baseline
2021,32,2021/32,2021-08-14,379,403,-24,23.875,-47.875,-11.8796526054591
2021,33,2021/33,2021-08-21,424,414.5,9.5,25.793,-16.293,-3.9307599517491
2021,34,2021/34,2021-08-28,370,423.5,-53.5,26.113,-79.613,-18.7988193624557
2021,35,2021/35,2021-09-04,379,407.5,-28.5,25.154,-53.654,-13.1666257668712
2021,36,2021/36,2021-09-11,393,410.5,-17.5,25.793,-43.293,-10.5464068209501
2021,37,2021/37,2021-09-18,413,413,0,28.032,-28.032,-6.78740920096852
2021,38,2021/38,2021-09-25,390,440,-50,30.271,-80.271,-18.2434090909091
2021,39,2021/39,2021-10-02,416,416.5,-0.5,29.631,-30.131,-7.2343337334934
2021,40,2021/40,2021-10-09,417,406.5,10.5,31.55,-21.05,-5.17835178351784
2021,41,2021/41,2021-10-16,375,411,-36,33.788,-69.788,-16.9800486618005
2021,42,2021/42,2021-10-23,419,432.5,-13.5,31.23,-44.73,-10.3421965317919
2021,43,2021/43,2021-10-30,368,410.5,-42.5,29.311,-71.811,-17.4935444579781
2021,44,2021/44,2021-11-06,381,394,-13,27.712,-40.712,-10.3329949238579
2021,45,2021/45,2021-11-13,388,413,-25,27.392,-52.392,-12.6857142857143
2021,46,2021/46,2021-11-20,394,433,-39,28.032,-67.032,-15.480831408776
2021,47,2021/47,2021-11-27,417,410.5,6.5,29.951,-23.451,-5.71278928136419
2021,48,2021/48,2021-12-04,384,393,-9,32.829,-41.829,-10.6435114503817
2021,49,2021/49,2021-12-11,421,399.5,21.5,36.667,-15.167,-3.79649561952441
2021,50,2021/50,2021-12-18,413,415,-2,38.585,-40.585,-9.77951807228916
2021,51,2021/51,2021-12-25,383,410,-27,39.545,-66.545,-16.2304878048781
2021,52,2021/52,2022-01-01,389,418,-29,41.464,-70.464,-16.8574162679426
2022,1,2022/01,2022-01-08,383,397,-14,43.063,-57.063,-14.3735516372796
2022,2,2022/02,2022-01-15,379,401,-22,45.621,-67.621,-16.8630922693267
2022,3,2022/03,2022-01-22,378,422.5,-44.5,43.383,-87.883,-20.8007100591716
2022,4,2022/04,2022-01-29,381,439,-58,40.185,-98.185,-22.3656036446469
2022,5,2022/05,2022-02-05,352,447,-95,35.068,-130.068,-29.0979865771812
2022,6,2022/06,2022-02-12,363,435.5,-72.5,32.509,-105.009,-24.1122847301952
